

Colorado (PST) SNOTEL Site Dry Lake - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Fri Jul 27 07:58:03 GMT-08:00 2018. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
457,2001-10-01,,     0.0,     0.0,     5.8,    23.8,     5.8,    12.2,      -3,
457,2001-10-02,,     0.0,     0.0,     6.1,    23.0,     4.2,    11.6,      -3,
457,2001-10-03,,     0.0,     0.1,     3.1,    20.8,     3.1,    10.1,      -3,
457,2001-10-04,,     0.0,     0.1,     2.5,    19.9,     0.6,     8.6,      -3,
457,2001-10-05,,     0.0,     0.1,    -3.0,    18.7,    -3.0,     7.8,      -3,
457,2001-10-06,,     0.0,     0.1,    -3.7,    12.2,    -7.8,     1.0,      -3,
457,2001-10-07,,     0.0,     0.1,     2.7,    17.5,    -3.7,     6.2,      -3,
457,2001-10-08,,     0.0,     0.1,     4.2,    15.0,     0.2,     6.4,      -3,
457,2001-10-09,,     0.0,     0.1,     3.4,    16.8,     0.4,     6.2,      -3,
457,2001-10-10,,     0.5,     1.3,    -3.5,     3.4,    -3.5,    -0.6,      -1,
457,2001-10-11,,     0.0,     1.4,    -7.3,     4.9,    -7.4,    -2.4,      -2,
457,2001-10-12,,     0.4,     1.7,    -4.8,     8.1,    -7.7,    -2.1,       1,
457,2001-10-13,,     0.4,     1.8,    -3.6,     0.4,    -5.8,    -3.6,       0,
457,2001-10-14,,     0.6,     1.9,     1.6,     4.3,    -3.7,     0.6,       0,
457,2001-10-15,,     0.4,     1.9,     0.4,     8.9,    -0.1,     4.0,      -2,
457,2001-10-16,,     0.1,     2.0,    -3.7,     9.0,    -6.2,    -0.2,      -3,
457,2001-10-17,,     0.1,     2.0,    -1.5,    14.2,    -4.7,     2.9,      -2,
457,2001-10-18,,     0.1,     2.0,     2.8,    16.0,    -2.3,     5.5,      -3,
457,2001-10-19,,     0.1,     2.0,    -2.7,    12.2,    -2.8,     3.9,      -2,
457,2001-10-20,,     0.1,     2.0,    -0.7,    12.4,    -3.2,     3.5,      -3,
457,2001-10-21,,     0.1,     2.0,    -0.2,    15.6,    -2.6,     5.0,      -3,
457,2001-10-22,,     0.1,     2.0,     1.1,    12.0,    -2.0,     4.5,      -3,
457,2001-10-23,,     0.1,     2.0,    -1.6,    10.7,    -2.9,     3.0,      -3,
457,2001-10-24,,     0.1,     2.0,    -5.4,     9.8,    -5.4,     2.1,      -3,
457,2001-10-25,,     0.0,     2.0,    -6.7,     2.4,    -7.1,    -3.4,      -3,
457,2001-10-26,,     0.1,     2.1,    -4.4,     7.6,    -9.6,    -2.0,      -3,
457,2001-10-27,,     0.1,     2.1,    -1.9,    11.3,    -5.5,     1.2,      -3,
457,2001-10-28,,     0.1,     2.1,     2.1,    16.5,    -2.9,     6.1,      -3,
457,2001-10-29,,     0.1,     2.1,     4.4,    16.8,     1.6,     7.7,      -3,
457,2001-10-30,,     0.1,     2.1,     3.1,    16.7,     1.7,     7.1,      -3,
457,2001-10-31,,     0.1,     2.1,     5.3,    15.6,     2.2,     8.1,      -3,
457,2001-11-01,,     0.1,     2.1,    -0.1,     9.5,    -0.1,     3.5,      -3,
457,2001-11-02,,     0.1,     2.1,    -0.9,     6.2,    -2.7,     1.0,      -3,
457,2001-11-03,,     0.1,     2.1,    -2.8,    10.3,    -5.0,     0.5,      -3,
457,2001-11-04,,     0.1,     2.1,    -0.7,    14.0,    -3.3,     2.6,      -2,
457,2001-11-05,,     0.1,     2.1,    -0.5,    15.5,    -2.3,     4.1,      -3,
457,2001-11-06,,     0.1,     2.1,     0.4,    13.4,    -0.6,     5.4,      -3,
457,2001-11-07,,     0.1,     2.1,     2.6,    14.2,    -0.4,     5.2,      -3,
457,2001-11-08,,     0.2,     2.3,    -0.5,    13.3,    -1.0,     3.8,      -3,
457,2001-11-09,,     0.1,     2.3,    -6.5,     4.5,    -6.5,    -1.9,      -2,
457,2001-11-10,,     0.2,     2.4,    -3.9,     9.5,    -8.0,    -1.4,      -2,
457,2001-11-11,,     0.2,     2.4,     0.2,    11.6,    -4.8,     1.2,      -3,
457,2001-11-12,,     0.2,     2.4,     0.8,     9.1,    -0.8,     2.7,      -3,
457,2001-11-13,,     0.2,     2.4,    -2.5,     9.6,    -2.5,     2.6,      -2,
457,2001-11-14,,     0.2,     2.4,    -2.0,    11.1,    -2.8,     2.4,      -3,
457,2001-11-15,,     0.2,     2.4,    -3.6,     8.4,    -4.0,    -0.1,      -2,
457,2001-11-16,,     0.2,     2.4,    -2.2,    11.2,    -4.2,     1.0,      -3,
457,2001-11-17,,     0.2,     2.4,    -2.4,    12.2,    -3.6,     1.6,      -3,
457,2001-11-18,,     0.2,     2.4,    -2.3,    10.8,    -3.8,     1.3,      -3,
457,2001-11-19,,     0.3,     2.5,    -2.4,     4.6,    -3.2,    -0.5,      -2,
457,2001-11-20,,     0.3,     2.6,    -6.6,     4.0,    -7.3,    -3.0,      -2,
457,2001-11-21,,     0.3,     2.7,    -7.0,     7.3,    -8.7,    -3.2,      -1,
457,2001-11-22,,     0.3,     2.7,    -1.1,     6.0,    -8.1,    -1.5,      -2,
457,2001-11-23,,     1.6,     3.8,    -3.2,     1.7,    -3.2,    -1.1,      10,
457,2001-11-24,,     2.0,     4.2,    -7.1,    -3.1,    -7.1,    -4.9,      13,
457,2001-11-25,,     2.3,     4.5,    -3.9,     0.4,    -8.0,    -5.5,      15,
457,2001-11-26,,     3.2,     5.4,    -8.8,     2.2,    -8.8,    -4.0,    -169,
457,2001-11-27,,     3.7,     6.0,   -12.7,    -7.5,   -12.7,    -9.4,      31,
457,2001-11-28,,     3.9,     6.1,   -20.9,    -7.2,   -21.2,   -13.7,      28,
457,2001-11-29,,     4.0,     6.1,   -12.5,    -5.3,   -23.3,   -15.8,      25,
457,2001-11-30,,     3.9,     6.1,    -8.9,    -1.1,   -13.0,    -8.3,      23,
457,2001-12-01,,     4.4,     6.5,    -8.3,    -6.2,    -8.9,    -7.8,      27,
457,2001-12-02,,     4.6,     6.7,    -5.0,    -0.3,   -11.8,    -6.5,      27,
457,2001-12-03,,     5.2,     7.3,    -4.2,     2.4,    -5.1,    -2.3,      28,
457,2001-12-04,,     5.1,     7.3,    -5.7,     9.0,    -8.0,    -3.2,      27,
457,2001-12-05,,     5.6,     7.7,    -9.5,     2.5,    -9.5,    -4.1,      32,
457,2001-12-06,,     5.7,     7.9,    -5.2,    -3.0,   -11.5,    -7.9,      32,
457,2001-12-07,,     6.1,     8.1,    -6.1,    -1.3,    -6.6,    -4.0,      33,
457,2001-12-08,,     6.5,     8.6,   -14.3,    -6.1,   -14.3,    -8.7,      35,
457,2001-12-09,,     6.5,     8.7,   -12.9,    -0.7,   -17.5,   -12.2,      32,
457,2001-12-10,,     6.5,     8.7,   -10.6,     3.8,   -13.3,    -8.3,      30,
457,2001-12-11,,     6.5,     8.7,    -7.4,     4.4,   -11.2,    -5.7,      28,
457,2001-12-12,,     6.5,     8.7,   -16.1,    -3.6,   -16.1,    -8.8,      28,
457,2001-12-13,,     6.6,     8.7,   -17.6,    -8.5,   -18.9,   -14.1,      28,
457,2001-12-14,,     6.6,     8.8,    -9.2,    -7.3,   -19.8,   -12.2,      29,
457,2001-12-15,,     6.6,     8.8,   -10.5,     3.8,   -11.2,    -6.3,      26,
457,2001-12-16,,     6.8,     9.0,   -18.1,    -3.6,   -18.1,   -10.6,      32,
457,2001-12-17,,     6.8,     9.0,   -10.8,    -5.2,   -21.2,   -13.6,      29,
457,2001-12-18,,     6.8,     9.0,    -8.9,     3.0,   -14.1,    -7.3,      28,
457,2001-12-19,,     6.9,     9.1,   -13.0,    -4.8,   -15.1,    -9.2,      29,
457,2001-12-20,,     6.9,     9.1,   -11.5,     1.1,   -12.2,    -6.5,      28,
457,2001-12-21,,     7.0,     9.2,    -3.3,     6.8,   -11.7,    -4.2,      26,
457,2001-12-22,,     7.2,     9.3,    -9.6,     2.3,    -9.6,    -4.8,      29,
457,2001-12-23,,     7.4,     9.6,   -14.9,    -8.7,   -15.3,   -10.7,      34,
457,2001-12-24,,     7.4,     9.7,   -14.5,    -0.7,   -17.5,   -12.4,      32,
457,2001-12-25,,     7.4,     9.7,   -18.2,    -3.4,   -18.5,   -13.7,      30,
457,2001-12-26,,     7.4,     9.7,   -12.8,    -2.4,   -18.6,   -13.0,      28,
457,2001-12-27,,     7.4,     9.7,   -13.3,     0.6,   -16.2,   -11.1,      28,
457,2001-12-28,,     7.4,     9.7,   -12.1,    -3.9,   -16.4,   -10.5,      27,
457,2001-12-29,,     7.7,     9.9,    -7.7,    -5.1,   -12.8,    -7.4,      29,
457,2001-12-30,,     7.7,     9.9,    -7.4,     0.3,   -10.9,    -7.0,      29,
457,2001-12-31,,     7.8,    10.0,    -9.4,    -4.5,   -10.7,    -8.3,      30,
457,2002-01-01,,     8.0,    10.1,    -7.2,    -1.2,   -10.8,    -6.6,      31,
457,2002-01-02,,     8.1,    10.4,   -20.5,    -7.1,   -20.5,   -10.5,      33,
457,2002-01-03,,     8.3,    10.4,   -11.4,    -2.9,   -21.7,   -15.7,      32,
457,2002-01-04,,     8.3,    10.4,    -8.0,     4.3,   -14.3,    -8.2,      31,
457,2002-01-05,,     8.4,    10.5,   -10.4,    -6.5,   -10.4,    -8.5,      34,
457,2002-01-06,,     8.5,    10.6,    -9.1,    -2.3,   -17.0,   -10.2,      33,
457,2002-01-07,,     8.6,    10.7,    -3.7,    -3.3,    -9.0,    -5.7,      33,
457,2002-01-08,,     8.8,    10.8,    -6.6,     2.0,    -6.6,    -2.9,      32,
457,2002-01-09,,     8.8,    10.8,    -1.3,     5.0,    -7.8,    -2.9,      31,
457,2002-01-10,,     9.1,    11.1,    -3.7,     5.6,    -3.7,     0.1,      33,
457,2002-01-11,,     9.1,    11.1,   -12.4,     0.7,   -13.8,    -7.5,      32,
457,2002-01-12,,     9.1,    11.1,   -12.0,     2.4,   -14.0,    -9.1,      31,
457,2002-01-13,,     9.1,    11.2,    -5.9,     4.1,   -12.1,    -4.3,      31,
457,2002-01-14,,     9.5,    11.5,   -17.3,    -5.9,   -17.3,    -9.7,      40,
457,2002-01-15,,     9.6,    11.6,   -12.7,     0.8,   -19.1,   -11.9,      36,
457,2002-01-16,,     9.8,    11.8,   -11.8,    -0.2,   -12.2,    -7.9,      39,
457,2002-01-17,,    10.0,    11.9,   -16.7,    -3.1,   -18.2,   -12.1,      42,
457,2002-01-18,,    10.1,    12.0,   -12.2,    -6.4,   -16.8,   -12.9,      40,
457,2002-01-19,,    10.4,    12.2,   -17.5,   -10.3,   -17.6,   -13.5,      43,
457,2002-01-20,,    10.5,    12.3,   -12.3,    -2.9,   -23.0,   -14.4,      40,
457,2002-01-21,,    10.6,    12.4,   -11.0,    -7.3,   -13.8,   -11.7,      40,
457,2002-01-22,,    10.7,    12.4,    -9.9,     3.5,   -11.0,    -6.2,      39,
457,2002-01-23,,    11.1,    12.8,   -14.6,    -2.8,   -15.7,    -9.1,      45,
457,2002-01-24,,    11.2,    13.0,   -21.3,    -9.7,   -21.3,   -15.9,      45,
457,2002-01-25,,    11.3,    13.0,   -15.2,    -4.5,   -22.1,   -15.2,      43,
457,2002-01-26,,    11.3,    13.0,   -10.4,     3.4,   -15.6,    -8.3,      41,
457,2002-01-27,,    11.3,    13.0,    -7.0,     7.3,   -10.9,    -4.8,      40,
457,2002-01-28,,    11.4,    13.0,    -1.8,     6.6,    -7.7,    -2.7,      39,
457,2002-01-29,,    11.5,    13.1,    -9.9,     1.3,    -9.9,    -2.6,      39,
