

Colorado (PST) SNOTEL Site Dry Lake - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Fri Jul 27 07:58:22 GMT-08:00 2018. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
457,2010-10-01,,     0.0,     0.0,     9.5,    22.3,     6.5,    13.6,       0,
457,2010-10-02,,     0.0,     0.0,     7.2,    22.0,     7.2,    13.6,       0,
457,2010-10-03,,     0.0,     0.0,     8.5,    21.6,     6.0,    12.9,       0,
457,2010-10-04,,     0.0,     0.0,     8.3,    22.1,     7.3,    13.3,       0,
457,2010-10-05,,     0.0,     0.0,     6.4,    17.7,     5.9,    10.4,       0,
457,2010-10-06,,     0.0,     0.0,    12.5,    18.3,     4.6,    12.0,       0,
457,2010-10-07,,     0.0,     0.4,     6.6,    16.2,     6.2,    10.7,       0,
457,2010-10-08,,     0.0,     0.4,     8.0,    19.2,     5.4,    10.6,       0,
457,2010-10-09,,     0.0,     0.8,     2.1,     9.2,     1.9,     4.2,       0,
457,2010-10-10,,     0.0,     1.0,     3.2,     5.3,     1.9,     2.9,       0,
457,2010-10-11,,     0.0,     1.1,     1.3,    10.3,     1.3,     4.4,       0,
457,2010-10-12,,     0.0,     1.2,     6.2,    13.5,     0.9,     6.3,       0,
457,2010-10-13,,     0.0,     1.3,     2.6,    13.0,     0.9,     6.3,       0,
457,2010-10-14,,     0.0,     1.3,     1.8,    12.8,     0.3,     5.5,       0,
457,2010-10-15,,     0.0,     1.3,     3.1,    16.1,     1.1,     7.4,       0,
457,2010-10-16,,     0.0,     1.4,     3.1,    16.4,     1.5,     7.7,       0,
457,2010-10-17,,     0.0,     1.4,     3.3,    16.1,     2.2,     7.8,       0,
457,2010-10-18,,     0.0,     1.4,     5.2,    13.2,     2.5,     7.0,       0,
457,2010-10-19,,     0.0,     1.6,     0.0,     6.6,    -0.1,     4.1,       0,
457,2010-10-20,,     0.0,     1.6,     0.8,    11.0,    -0.5,     3.6,       0,
457,2010-10-21,,     0.0,     1.6,     4.3,    15.0,    -0.1,     6.5,       0,
457,2010-10-22,,     0.0,     1.6,     6.7,    16.3,     2.3,     8.5,       0,
457,2010-10-23,,     0.8,     2.7,     1.4,     7.1,     1.3,     3.9,       3,
457,2010-10-24,,     1.6,     3.8,     1.4,    10.3,     1.3,     2.6,       5,
457,2010-10-25,,     2.0,     5.0,     3.8,     5.9,     1.0,     3.0,       5,
457,2010-10-26,,     2.3,     5.8,    -4.3,     6.0,    -4.3,    -1.3,       7,
457,2010-10-27,,     2.5,     6.1,    -4.9,    -3.4,    -5.0,    -4.3,      10,
457,2010-10-28,,     2.6,     6.2,    -8.9,    -1.6,    -9.6,    -5.7,      11,
457,2010-10-29,,     2.5,     6.2,    -3.0,     7.8,   -10.4,    -2.0,       9,
457,2010-10-30,,     2.4,     6.3,     0.4,    13.0,    -3.4,     3.5,       8,
457,2010-10-31,,     2.6,     6.5,     0.9,    14.2,     0.1,     5.8,       6,
457,2010-11-01,,     2.5,     6.6,     0.8,     7.5,     0.6,     2.6,       7,
457,2010-11-02,,     2.5,     6.6,    -2.3,     5.6,    -2.4,     0.9,       7,
457,2010-11-03,,     2.5,     6.6,     2.9,    10.9,    -2.7,     2.8,       7,
457,2010-11-04,,     2.4,     6.6,     2.1,    11.9,    -0.4,     4.3,       7,
457,2010-11-05,,     2.4,     6.6,     1.4,    12.5,    -0.5,     4.2,       6,
457,2010-11-06,,     2.4,     6.7,     2.1,    13.4,    -0.3,     5.3,       6,
457,2010-11-07,,     2.4,     6.7,     2.3,    15.6,     1.1,     6.3,       5,
457,2010-11-08,,     2.3,     6.7,     0.6,     8.7,     0.2,     4.1,       5,
457,2010-11-09,,     2.2,     6.7,     1.2,    12.8,    -0.3,     5.1,       5,
457,2010-11-10,,     3.1,     7.7,    -4.8,     1.2,    -4.8,    -2.5,      14,
457,2010-11-11,,     3.1,     7.8,    -5.3,     0.5,    -6.1,    -3.9,      13,
457,2010-11-12,,     3.1,     7.8,    -6.0,    -2.9,    -7.6,    -5.1,       9,
