

Colorado (PST) SNOTEL Site Dry Lake - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Fri Jul 27 07:58:37 GMT-08:00 2018. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
457,2017-10-01,,     0.0,     0.0,     2.8,    14.6,     1.2,     5.4,       0,
457,2017-10-02,,     0.7,     1.0,    -0.7,     3.3,    -0.7,     1.2,       2,
457,2017-10-03,,     1.1,     1.6,    -1.6,     4.4,    -1.7,     0.0,       4,
457,2017-10-04,,     0.8,     1.7,     5.1,    11.1,    -6.3,     2.4,       2,
457,2017-10-05,,     0.1,     1.8,     4.9,    19.2,     3.7,    10.2,       1,
457,2017-10-06,,     0.0,     1.8,     2.9,    18.2,     2.8,     9.2,       0,
457,2017-10-07,,     0.0,     1.8,     3.1,     6.4,    -0.9,     3.2,       0,
457,2017-10-08,,     0.0,     1.8,     3.2,    14.5,    -0.9,     6.2,       0,
457,2017-10-09,,     0.0,     1.8,    -0.5,    16.9,    -0.5,     6.4,       0,
457,2017-10-10,,     0.0,     1.8,    -3.5,     4.3,    -3.7,    -0.2,       0,
457,2017-10-11,,     0.0,     1.8,    -0.6,    11.0,    -4.7,     2.0,       0,
457,2017-10-12,,     0.0,     1.8,     4.5,    15.2,    -1.3,     6.3,       0,
457,2017-10-13,,     0.0,     1.8,     0.5,    15.3,     0.5,     7.4,       0,
457,2017-10-14,,     0.0,     1.8,     3.0,    12.7,    -1.1,     4.8,       0,
457,2017-10-15,,     0.0,     1.8,    -5.3,     6.5,    -5.4,    -0.5,       0,
457,2017-10-16,,     0.0,     1.8,     0.4,    10.9,    -6.1,     1.7,       0,
