

Colorado (PST) SNOTEL Site Dry Lake - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Fri Jul 27 07:57:51 GMT-08:00 2018. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,
457,1995-10-01,,     0.0,     0.0,    -0.8,     5.6,    -1.8,     0.5,
457,1995-10-02,,     0.0,     0.0,     2.1,    11.2,    -1.4,     2.9,
457,1995-10-03,,     0.0,     0.0,     1.8,    10.7,    -2.9,     3.2,
457,1995-10-04,,     0.2,     0.3,    -0.3,    14.7,    -3.6,     5.7,
457,1995-10-05,,     1.1,     1.5,    -3.3,    -0.2,    -3.3,    -1.7,
457,1995-10-06,,     0.8,     1.6,    -8.0,     4.0,    -8.0,    -2.6,
457,1995-10-07,,     0.6,     1.6,    -5.0,    12.1,    -9.9,    -1.4,
457,1995-10-08,,     0.5,     1.6,    -0.1,    15.8,    -6.2,     3.0,
457,1995-10-09,,     0.1,     1.6,    -4.0,     9.3,    -5.3,     0.4,
457,1995-10-10,,     0.0,     1.6,    -2.6,    12.5,    -5.2,     2.5,
457,1995-10-11,,     0.0,     1.6,     0.5,    15.1,    -3.6,     4.1,
457,1995-10-12,,     0.0,     1.6,     3.0,    20.7,    -1.3,     7.8,
457,1995-10-13,,     0.1,     1.7,    -4.7,    13.1,    -4.7,     4.2,
457,1995-10-14,,     0.0,     1.7,    -5.3,     5.0,    -8.1,    -2.4,
457,1995-10-15,,     0.0,     1.7,    -1.8,    11.4,    -6.2,     1.5,
457,1995-10-16,,     0.0,     1.7,     0.0,    17.8,    -1.6,     6.1,
457,1995-10-17,,     0.0,     1.7,    -1.1,    17.8,    -1.4,     6.3,
457,1995-10-18,,     0.0,     1.7,    -1.3,    14.7,    -2.5,     4.3,
457,1995-10-19,,     0.0,     1.7,     2.9,    17.4,    -1.8,     6.3,
457,1995-10-20,,     0.0,     1.7,    -6.9,     6.5,    -7.4,    -1.4,
457,1995-10-21,,     0.0,     1.7,    -2.7,    12.0,    -7.7,     1.1,
457,1995-10-22,,     0.0,     1.7,     1.3,    14.9,    -2.8,     5.6,
457,1995-10-23,,     0.9,     2.8,    -9.7,     1.4,    -9.7,    -5.5,
457,1995-10-24,,     1.0,     2.9,   -12.2,    -0.4,   -12.8,    -7.8,
457,1995-10-25,,     1.0,     2.9,    -8.7,     8.2,   -12.9,    -5.1,
457,1995-10-26,,     1.0,     2.9,    -2.6,     7.7,    -9.6,    -2.6,
457,1995-10-27,,     1.0,     2.9,    -0.1,     6.5,    -2.8,     1.5,
457,1995-10-28,,     1.0,     2.9,    -5.1,     7.3,    -5.1,     0.1,
457,1995-10-29,,     1.0,     2.9,    -2.3,    10.6,    -5.7,     1.1,
457,1995-10-30,,     1.0,     2.9,     1.5,    11.8,    -2.9,     3.4,
457,1995-10-31,,     1.3,     3.0,     1.4,    12.9,     0.8,     4.5,
457,1995-11-01,,     2.0,     3.5,    -0.6,    10.5,    -0.7,     2.6,
457,1995-11-02,,     2.8,     4.1,   -13.6,     1.3,   -13.6,    -3.3,
457,1995-11-03,,     2.8,     4.1,   -15.3,    -3.0,   -17.9,   -11.9,
457,1995-11-04,,     2.8,     4.1,   -10.5,     3.1,   -17.3,    -8.4,
457,1995-11-05,,     2.8,     4.1,   -10.9,     4.9,   -11.9,    -5.5,
457,1995-11-06,,     2.8,     4.1,    -2.0,    10.3,   -11.5,    -2.5,
457,1995-11-07,,     2.8,     4.1,    -4.1,     2.6,    -4.3,    -0.7,
457,1995-11-08,,     2.8,     4.1,    -4.4,     1.1,    -4.8,    -1.8,
457,1995-11-09,,     2.8,     4.1,     1.0,     9.2,    -5.3,     1.8,
457,1995-11-10,,     4.0,     5.1,    -3.3,     3.5,    -3.7,    -0.8,
457,1995-11-11,,     4.8,     5.7,   -13.2,    -3.8,   -13.6,    -8.3,
457,1995-11-12,,     4.8,     5.7,    -2.6,    -0.5,   -15.0,    -5.7,
457,1995-11-13,,     5.2,     5.9,     0.9,     2.5,    -2.7,    -0.6,
457,1995-11-14,,     6.2,     6.7,     0.9,     2.1,     0.1,     1.0,
457,1995-11-15,,     6.2,     6.7,    -2.1,     5.3,    -2.2,     1.3,
457,1995-11-16,,     6.4,     6.8,    -3.1,    12.1,    -3.7,     0.8,
457,1995-11-17,,     6.4,     6.8,    -3.3,    10.3,    -4.4,     0.8,
457,1995-11-18,,     6.4,     6.8,    -3.6,     9.0,    -4.8,    -0.5,
457,1995-11-19,,     6.4,     6.8,    -4.1,    11.9,    -5.7,     0.3,
457,1995-11-20,,     6.4,     6.8,    -2.4,     9.9,    -5.1,     0.3,
457,1995-11-21,,     6.4,     6.8,    -4.3,     8.5,    -4.7,     0.5,
457,1995-11-22,,     6.4,     6.8,    -0.5,     8.7,    -6.1,    -0.6,
457,1995-11-23,,     6.4,     6.8,    -2.1,     5.3,    -2.9,     0.7,
457,1995-11-24,,     6.6,     6.9,    -5.6,     5.8,    -6.0,    -1.8,
457,1995-11-25,,     6.6,     6.9,    -2.8,     7.7,    -5.7,     0.4,
457,1995-11-26,,     6.6,     6.9,    -1.6,    12.2,    -4.6,     1.8,
457,1995-11-27,,     7.6,     7.6,    -6.3,     3.5,    -6.3,    -2.3,
