

Colorado (PST) SNOTEL Site Dry Lake - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Fri Jul 27 07:58:27 GMT-08:00 2018. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
457,2013-10-01,,     0.0,     0.0,     4.5,    18.1,     2.3,     9.5,       0,
457,2013-10-02,,     0.0,     0.1,     4.8,    18.5,     3.0,     9.8,       0,
457,2013-10-03,,     0.0,     0.2,     8.2,    16.8,     4.8,     9.8,       0,
457,2013-10-04,,     0.0,     0.2,    -1.4,    15.7,    -1.4,     6.4,       0,
457,2013-10-05,,     1.3,     1.4,    -5.5,    -1.0,    -5.5,    -3.2,      13,
457,2013-10-06,,     1.5,     1.5,    -5.4,     2.1,    -6.3,    -3.4,      10,
457,2013-10-07,,     1.2,     1.6,     1.2,     8.9,    -5.5,     1.5,       7,
457,2013-10-08,,     0.9,     1.6,     2.4,    16.6,    -0.6,     6.1,       2,
457,2013-10-09,,     0.0,     1.6,     4.5,    15.6,     0.9,     7.1,       0,
457,2013-10-10,,     0.0,     1.6,     5.0,    13.7,     3.5,     8.0,       0,
457,2013-10-11,,     0.5,     1.9,     0.7,     7.4,     0.7,     3.3,       2,
457,2013-10-12,,     1.2,     2.7,     0.8,     2.7,     0.2,     0.9,       6,
457,2013-10-13,,     1.2,     2.7,     0.3,     7.8,    -1.4,     2.2,       4,
457,2013-10-14,,     1.1,     2.9,     1.4,    14.4,     0.3,     5.2,       3,
457,2013-10-15,,     1.8,     3.8,    -1.3,     1.5,    -1.3,     0.4,      10,
457,2013-10-16,,     1.8,     3.9,    -3.0,     4.9,    -3.0,    -0.6,       8,
457,2013-10-17,,     1.8,     3.9,    -4.2,     3.3,    -5.0,    -2.0,       8,
457,2013-10-18,,     1.8,     4.0,    -0.9,     5.1,    -4.2,     0.3,       7,
457,2013-10-19,,     1.7,     4.1,    -6.3,     3.1,    -6.3,    -2.2,       7,
457,2013-10-20,,     1.7,     4.3,     0.0,     7.9,    -6.6,     0.4,       6,
457,2013-10-21,,     1.8,     4.3,    -2.2,     3.2,    -2.9,    -0.2,       6,
457,2013-10-22,,     1.8,     4.3,    -1.9,     7.0,    -5.5,     0.4,       6,
457,2013-10-23,,     1.7,     4.3,    -0.5,    10.5,    -2.8,     2.7,       5,
457,2013-10-24,,     1.6,     4.3,     2.1,    12.6,    -0.9,     5.0,       4,
457,2013-10-25,,     1.5,     4.3,     2.0,    13.3,     0.6,     6.0,       4,
457,2013-10-26,,     1.3,     4.3,     1.6,    12.4,    -0.2,     5.1,       4,
457,2013-10-27,,     1.2,     4.3,    -0.4,    11.9,    -0.5,     4.4,       3,
457,2013-10-28,,     1.0,     4.3,     3.4,    11.3,    -1.2,     4.2,       2,
457,2013-10-29,,     0.8,     4.3,     2.8,    11.4,     1.9,     6.4,       2,
457,2013-10-30,,     1.2,     4.5,    -0.8,     5.8,    -0.8,     1.5,       5,
457,2013-10-31,,     1.5,     4.8,    -3.1,     1.4,    -3.1,    -1.4,       7,
457,2013-11-01,,     2.1,     5.4,    -0.9,    -0.9,    -3.6,    -2.3,       9,
457,2013-11-02,,     2.2,     5.6,    -5.3,     2.5,    -5.3,    -1.2,      10,
457,2013-11-03,,     2.2,     5.7,    -2.1,     9.9,    -5.5,     0.1,       9,
457,2013-11-04,,     2.8,     6.2,    -7.1,     8.5,    -7.2,    -0.4,      12,
457,2013-11-05,,     3.1,     6.5,    -6.1,     0.4,   -12.0,    -5.7,      18,
457,2013-11-06,,     3.2,     6.6,   -11.0,    -3.9,   -11.8,    -7.9,      17,
457,2013-11-07,,     3.3,     6.8,    -2.9,    -0.5,   -11.4,    -4.4,      16,
457,2013-11-08,,     3.3,     6.8,     0.6,     7.0,    -6.6,     0.0,      15,
457,2013-11-09,,     3.2,     6.8,    -1.9,     7.7,    -1.9,     2.4,      15,
