

Colorado (PST) SNOTEL Site Dry Lake - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Fri Jul 27 07:57:42 GMT-08:00 2018. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,
457,1990-10-01,,     0.0,     0.0,     4.8,    20.3,     1.0,     9.2,
457,1990-10-02,,     0.0,     0.0,     7.9,    22.1,     2.7,    11.1,
457,1990-10-03,,     0.0,     0.0,     0.6,    13.2,     2.2,     7.5,
457,1990-10-04,,     0.0,     0.0,     4.1,     7.5,     0.1,     3.1,
457,1990-10-05,,     0.0,     0.0,     0.6,    18.7,     1.1,     8.3,
457,1990-10-06,,     0.0,     0.0,     5.7,    21.2,     0.6,     9.8,
457,1990-10-07,,     0.0,     0.6,     0.2,    17.7,     0.2,     7.8,
457,1990-10-08,,     0.3,     1.5,    -3.7,     2.6,    -2.7,    -0.3,
457,1990-10-09,,     0.2,     1.6,    -4.5,     3.1,    -6.5,    -2.9,
457,1990-10-10,,     0.1,     1.7,    -6.0,     6.5,    -6.4,    -1.7,
457,1990-10-11,,     0.0,     1.7,    -3.1,    18.7,    -6.4,     2.2,
457,1990-10-12,,     0.0,     1.9,    -6.9,     5.8,    -8.0,    -1.0,
457,1990-10-13,,     0.0,     1.9,    -2.4,    12.7,    -8.2,     0.6,
457,1990-10-14,,     0.0,     1.9,     1.7,    12.9,    -2.7,     4.7,
457,1990-10-15,,     0.0,     1.9,     1.9,     2.4,    -3.9,    -0.4,
457,1990-10-16,,     0.0,     1.9,     0.4,    16.5,     0.2,     7.6,
457,1990-10-17,,     0.2,     2.3,    -4.7,    17.5,    -2.5,     6.0,
457,1990-10-18,,     0.0,     2.3,    -6.6,     5.1,    -7.8,    -3.5,
457,1990-10-19,,     0.0,     2.3,     2.7,    15.6,    -7.9,     2.9,
457,1990-10-20,,     0.6,     3.4,    -3.1,     6.1,    -1.3,     1.3,
457,1990-10-21,,     0.6,     3.5,    -9.3,     4.8,    -8.1,    -2.8,
457,1990-10-22,,     0.6,     3.5,    -6.3,     8.2,   -10.1,    -2.9,
457,1990-10-23,,     0.5,     3.5,    -2.1,    13.8,    -7.5,     1.0,
457,1990-10-24,,     0.3,     3.5,    -1.9,    11.9,    -4.8,     1.6,
457,1990-10-25,,     0.0,     3.5,    -1.4,    12.5,    -3.6,     2.9,
457,1990-10-26,,     0.0,     3.5,    -0.6,    17.0,    -1.9,     5.1,
457,1990-10-27,,     0.0,     3.5,     0.8,    16.4,    -1.7,     5.2,
457,1990-10-28,,     0.0,     3.5,     0.5,    18.6,    -0.1,     6.3,
457,1990-10-29,,     0.0,     3.5,    -0.8,    18.0,     0.1,     6.8,
457,1990-10-30,,     0.0,     3.5,    -1.3,    16.7,    -1.1,     5.8,
457,1990-10-31,,     0.0,     3.5,    -0.9,    16.2,    -1.3,     5.8,
457,1990-11-01,,     0.0,     3.6,     2.3,    15.8,    -1.4,     5.5,
457,1990-11-02,,     0.0,     3.6,    -1.9,     9.5,    -0.3,     4.3,
457,1990-11-03,,     0.0,     3.9,    -4.0,     5.4,    -3.9,    -0.4,
457,1990-11-04,,     0.0,     3.9,    -8.4,     0.1,    -6.8,    -4.2,
457,1990-11-05,,     0.0,     3.9,    -2.8,     4.5,   -12.0,    -4.0,
457,1990-11-06,,     1.4,     5.1,    -7.0,    -0.6,    -6.3,    -3.0,
457,1990-11-07,,     1.4,     5.2,   -14.9,     2.8,   -14.4,    -6.2,
457,1990-11-08,,     1.3,     5.2,    -8.3,     1.8,   -15.3,   -10.0,
457,1990-11-09,,     1.3,     5.2,    -4.9,    -1.4,    -9.3,    -5.2,
457,1990-11-10,,     1.3,     5.2,    -5.1,     6.6,    -5.3,    -1.5,
457,1990-11-11,,     1.3,     5.2,    -5.8,    11.0,    -6.1,    -0.4,
457,1990-11-12,,     1.1,     5.2,    -3.1,    17.2,    -5.8,     0.9,
457,1990-11-13,,     1.1,     5.3,    -6.2,    17.1,    -5.2,     1.8,
457,1990-11-14,,     1.1,     5.3,    -3.3,    16.9,    -6.2,     1.8,
457,1990-11-15,,     1.1,     5.3,    -2.4,    17.3,    -3.8,     3.6,
457,1990-11-16,,     1.1,     5.3,    -5.7,    12.5,    -4.6,     3.1,
457,1990-11-17,,     1.0,     5.3,    -1.1,    14.8,    -6.1,     2.1,
457,1990-11-18,,     1.0,     5.3,    -1.3,    12.6,    -2.0,     3.3,
457,1990-11-19,,     1.0,     5.3,     2.0,     8.7,    -1.8,     1.6,
457,1990-11-20,,     1.0,     5.3,     0.0,     9.4,    -0.4,     2.7,
457,1990-11-21,,     1.3,     5.6,   -10.3,     8.9,    -8.6,     1.3,
457,1990-11-22,,     1.3,     5.6,    -9.0,    -1.4,   -13.6,    -8.2,
457,1990-11-23,,     1.4,     5.7,    -8.7,    -0.2,   -10.9,    -6.6,
457,1990-11-24,,     1.4,     5.7,    -6.3,     5.8,   -10.8,    -4.0,
457,1990-11-25,,     1.4,     5.7,    -5.7,     9.8,    -6.5,    -1.5,
457,1990-11-26,,     1.0,     5.7,    -1.6,    14.2,    -6.5,    -0.1,
457,1990-11-27,,     1.5,     6.2,   -10.4,     6.4,    -8.3,    -0.2,
457,1990-11-28,,     1.6,     6.3,   -11.6,    -7.6,   -12.7,   -10.3,
457,1990-11-29,,     1.6,     6.6,   -16.6,    -5.2,   -15.7,   -10.7,
457,1990-11-30,,     1.6,     6.6,   -10.9,     7.3,   -17.6,    -8.7,
457,1990-12-01,,     1.6,     6.6,   -11.0,     7.1,   -11.9,    -5.9,
457,1990-12-02,,     1.6,     6.6,    -8.7,     5.0,   -14.7,    -6.7,
457,1990-12-03,,     1.7,     6.7,   -13.0,    -7.1,   -15.3,   -11.3,
457,1990-12-04,,     1.5,     6.8,   -14.6,    -2.8,   -16.0,   -11.5,
457,1990-12-05,,     1.0,     6.8,    -9.6,     6.1,   -15.4,    -5.7,
457,1990-12-06,,     1.0,     6.8,   -10.4,     2.4,   -10.2,    -4.7,
457,1990-12-07,,     0.9,     6.8,   -14.7,    -3.9,   -16.0,   -10.8,
457,1990-12-08,,     0.9,     6.8,   -11.0,     8.0,   -15.5,    -7.8,
457,1990-12-09,,     0.9,     6.8,    -9.3,     9.1,   -11.2,    -5.1,
457,1990-12-10,,     1.1,     6.8,    -5.7,    12.0,   -11.0,    -3.2,
457,1990-12-11,,     1.1,     6.8,    -5.8,    13.2,    -6.9,    -0.9,
457,1990-12-12,,     1.1,     6.8,     0.0,    11.9,    -6.8,     0.6,
457,1990-12-13,,     1.2,     7.1,    -2.2,     0.3,    -2.7,    -1.5,
457,1990-12-14,,     1.6,     7.5,    -9.6,     1.4,    -4.7,    -1.9,
457,1990-12-15,,     1.7,     7.7,   -19.8,    -1.8,   -18.5,   -10.0,
457,1990-12-16,,     1.7,     7.7,    -7.3,     2.1,   -20.6,   -11.6,
457,1990-12-17,,     2.1,     7.8,    -9.2,     1.3,    -7.9,    -4.6,
457,1990-12-18,,     2.4,     8.0,   -10.3,    -5.2,   -11.7,    -9.7,
457,1990-12-19,,     3.2,     8.4,    -6.8,    -3.4,   -10.5,    -8.0,
457,1990-12-20,,     4.0,     8.7,   -12.3,     0.8,   -10.5,    -5.8,
457,1990-12-21,,     4.5,     8.9,   -28.2,    -6.8,   -28.7,   -20.1,
457,1990-12-22,,     4.8,     9.0,   -26.8,   -21.9,   -33.2,   -28.5,
457,1990-12-23,,     5.0,     9.1,   -34.1,   -15.3,   -33.5,   -25.2,
457,1990-12-24,,     5.1,     9.1,   -25.2,   -17.0,   -34.5,   -27.3,
457,1990-12-25,,     5.1,     9.1,   -15.5,    -7.4,   -25.8,   -16.8,
457,1990-12-26,,     5.1,     9.1,   -19.3,    -9.7,   -19.9,   -14.9,
457,1990-12-27,,     5.1,     9.1,   -14.5,    -6.5,   -19.3,   -13.7,
457,1990-12-28,,     5.1,     9.1,   -13.7,    -1.8,   -17.4,   -11.7,
457,1990-12-29,,     5.1,     9.2,   -11.2,     3.0,   -15.3,    -8.7,
457,1990-12-30,,     5.1,     9.5,   -24.9,    -5.1,   -23.2,   -12.7,
457,1990-12-31,,     5.1,     9.5,   -13.0,    -5.3,   -27.0,   -16.6,
457,1991-01-01,,     5.1,     9.5,   -13.7,     2.0,   -16.1,   -10.1,
457,1991-01-02,,     5.1,     9.5,   -10.7,     5.3,   -14.0,    -7.9,
457,1991-01-03,,     5.1,     9.5,   -10.5,     9.5,   -11.9,    -6.2,
457,1991-01-04,,     5.1,     9.5,    -5.0,     9.0,   -12.4,    -5.2,
457,1991-01-05,,     5.5,     9.9,    -6.3,     1.9,    -5.7,    -2.8,
457,1991-01-06,,     5.5,     9.9,   -13.2,     5.4,   -11.5,    -4.6,
457,1991-01-07,,     5.6,     9.9,   -13.6,     7.1,   -15.0,    -8.8,
457,1991-01-08,,     5.7,     9.9,    -6.6,     1.8,   -13.6,    -7.9,
457,1991-01-09,,     6.0,    10.3,   -12.7,     1.3,   -13.3,    -6.9,
457,1991-01-10,,     6.1,    10.3,    -6.9,     3.3,   -14.7,    -7.3,
457,1991-01-11,,     6.4,    10.4,    -7.7,    -2.7,    -7.7,    -6.1,
457,1991-01-12,,     6.5,    10.6,    -8.1,    -2.5,    -8.1,    -6.4,
457,1991-01-13,,     6.7,    10.6,    -3.7,     6.1,   -10.0,    -3.9,
457,1991-01-14,,     7.3,    11.1,    -5.2,     1.3,    -4.5,    -2.6,
457,1991-01-15,,     7.9,    11.6,    -7.7,    -4.4,    -7.5,    -5.9,
457,1991-01-16,,     8.3,    12.0,    -9.4,    -1.7,    -8.5,    -5.6,
457,1991-01-17,,     8.4,    12.1,    -9.9,    -1.5,   -11.4,    -7.4,
457,1991-01-18,,     8.5,    12.1,    -8.2,    -1.2,   -11.4,    -7.5,
457,1991-01-19,,     8.6,    12.1,   -12.0,     4.0,   -11.5,    -6.2,
457,1991-01-20,,     9.1,    12.4,   -14.7,    -2.2,   -13.9,    -8.2,
457,1991-01-21,,     9.1,    12.5,   -21.9,    -1.5,   -21.0,   -13.0,
457,1991-01-22,,     9.1,    12.5,   -13.1,    -0.7,   -22.6,   -17.0,
457,1991-01-23,,     9.2,    12.6,   -13.0,    -4.4,   -17.9,   -12.0,
457,1991-01-24,,     9.5,    12.8,   -12.8,    -6.9,   -16.6,   -11.9,
457,1991-01-25,,     9.9,    13.1,   -13.3,    -4.4,   -13.8,    -9.7,
457,1991-01-26,,    10.0,    13.1,   -12.5,     0.7,   -16.0,   -11.1,
457,1991-01-27,,    10.0,    13.2,   -10.4,    -1.3,   -12.8,    -9.2,
457,1991-01-28,,    10.0,    13.2,   -13.7,    -0.8,   -13.3,    -8.4,
457,1991-01-29,,    10.2,    13.3,   -16.6,     2.4,   -14.6,    -7.6,
457,1991-01-30,,    10.2,    13.3,   -20.3,    -8.6,   -22.3,   -17.0,
457,1991-01-31,,    10.2,    13.3,   -11.9,     3.4,   -21.5,   -12.9,
457,1991-02-01,,    10.2,    13.3,   -11.8,     9.3,   -15.4,    -6.4,
457,1991-02-02,,    10.1,    13.4,    -8.7,    15.1,   -12.4,    -3.3,
457,1991-02-03,,    10.1,    13.4,   -10.1,    -7.8,    -9.9,    -9.1,
457,1991-02-04,,    10.1,    13.4,    -5.1,     3.0,   -11.2,    -4.5,
457,1991-02-05,,    10.0,    13.4,   -10.2,     4.8,    -9.7,    -3.5,
457,1991-02-06,,     9.9,    13.4,    -7.5,    14.5,   -11.1,    -2.4,
457,1991-02-07,,     9.9,    13.4,    -7.1,    11.9,    -8.5,    -1.7,
457,1991-02-08,,     9.9,    13.4,    -6.9,    15.0,    -8.2,    -0.6,
457,1991-02-09,,     9.9,    13.4,   -10.6,    11.1,    -9.5,    -2.4,
457,1991-02-10,,     9.8,    13.4,    -8.5,     7.8,   -11.1,    -4.1,
457,1991-02-11,,     9.7,    13.4,    -9.1,    11.0,   -10.4,    -3.2,
457,1991-02-12,,     9.6,    13.4,    -8.9,    11.7,    -9.9,    -2.2,
457,1991-02-13,,     9.9,    13.5,    -4.4,     9.4,    -9.9,    -1.7,
457,1991-02-14,,    10.6,    14.1,    -5.0,    -0.7,    -5.2,    -3.8,
