

Colorado (PST) SNOTEL Site Dry Lake - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Fri Jul 27 07:58:07 GMT-08:00 2018. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
457,2003-10-01,,     0.0,     0.0,     8.3,    18.1,     4.5,     9.8,      -1,
457,2003-10-02,,     0.0,     0.1,     8.2,    19.4,     6.0,    12.0,      -1,
457,2003-10-03,,     0.0,     0.8,     4.8,    13.6,     4.5,     8.9,       0,
457,2003-10-04,,     0.0,     0.8,     5.2,    14.1,     3.7,     8.3,       0,
457,2003-10-05,,     0.0,     0.8,     4.0,    14.9,     2.7,     8.3,       0,
457,2003-10-06,,     0.0,     0.8,     4.7,    17.1,     2.9,     7.9,       0,
457,2003-10-07,,     0.0,     0.8,     5.7,    17.3,     2.4,     9.1,       1,
457,2003-10-08,,     0.0,     0.8,     4.2,    17.8,     3.4,     9.2,       0,
457,2003-10-09,,     0.0,     0.8,     5.2,    18.1,     3.9,     9.5,       0,
457,2003-10-10,,     0.0,     0.8,     7.5,    19.7,     3.8,    10.4,      -1,
457,2003-10-11,,     0.0,     0.8,    -2.9,    18.4,    -2.9,     7.9,       0,
457,2003-10-12,,     0.0,     0.8,     1.2,    10.0,    -6.1,     1.2,       0,
457,2003-10-13,,     0.0,     0.8,     5.0,    16.7,    -0.1,     7.4,      -1,
457,2003-10-14,,     0.0,     0.8,    -3.0,     6.8,    -3.2,     2.3,       0,
457,2003-10-15,,     0.0,     0.8,     0.5,    13.6,    -4.6,     3.5,       0,
457,2003-10-16,,     0.0,     0.9,     4.7,    12.8,    -1.7,     4.8,      -1,
457,2003-10-17,,     0.0,     0.9,     3.1,    12.8,     2.5,     7.4,       0,
457,2003-10-18,,     0.0,     0.9,     4.5,    17.6,     1.7,     8.2,       0,
457,2003-10-19,,     0.0,     0.9,     5.0,    19.5,     3.2,     9.5,      -1,
457,2003-10-20,,     0.0,     0.9,     4.7,    19.8,     3.4,    10.4,      -1,
457,2003-10-21,,     0.0,     0.9,     5.1,    18.3,     2.4,     9.0,      -1,
457,2003-10-22,,     0.0,     0.9,     6.3,    19.2,     3.7,     9.8,       2,
457,2003-10-23,,     0.0,     0.9,     6.0,    20.4,     4.7,    10.7,      -1,
