

Colorado (PST) SNOTEL Site Dry Lake - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Fri Jul 27 07:57:43 GMT-08:00 2018. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,
457,1991-10-01,,     0.0,     0.0,     1.9,    18.7,     3.0,     8.7,
457,1991-10-02,,     0.0,     0.0,     1.8,    19.5,     1.2,     8.9,
457,1991-10-03,,     0.0,     0.0,     1.3,    19.2,     0.5,     8.8,
457,1991-10-04,,     0.0,     0.1,    -1.5,    18.3,     0.7,     8.5,
457,1991-10-05,,     0.0,     0.1,    -5.0,     7.5,    -3.7,     0.8,
457,1991-10-06,,     0.0,     0.1,    -1.8,    12.8,    -6.4,     2.3,
457,1991-10-07,,     0.0,     0.1,     0.6,    18.3,    -3.0,     6.0,
457,1991-10-08,,     0.0,     0.1,     2.3,    20.5,     0.0,     8.9,
457,1991-10-09,,     0.0,     0.1,     3.2,    20.4,     1.6,     9.5,
457,1991-10-10,,     0.0,     0.1,     1.9,    20.4,     0.4,     9.3,
457,1991-10-11,,     0.0,     0.1,     3.2,    21.3,     1.1,    10.1,
457,1991-10-12,,     0.0,     0.1,     4.6,    24.4,     2.4,    11.2,
457,1991-10-13,,     0.0,     0.1,     3.7,    21.8,     1.5,    10.2,
457,1991-10-14,,     0.0,     0.1,    -2.0,    16.5,    -0.5,     7.4,
457,1991-10-15,,     0.0,     0.1,     0.5,    16.3,    -2.7,     5.5,
457,1991-10-16,,     0.0,     0.1,     2.5,    18.4,    -1.1,     7.2,
457,1991-10-17,,     0.0,     0.1,     4.9,    23.2,     0.6,    10.6,
457,1991-10-18,,     0.0,     0.1,     5.6,    20.3,     3.2,     9.9,
457,1991-10-19,,     0.0,     0.1,     0.0,    13.3,     0.4,     7.2,
457,1991-10-20,,     0.0,     0.1,     0.2,    14.8,    -1.7,     5.5,
457,1991-10-21,,     0.0,     0.1,    -1.7,    15.7,    -2.1,     5.4,
457,1991-10-22,,     0.0,     0.1,     0.5,    15.9,    -2.6,     5.6,
457,1991-10-23,,     0.0,     0.1,     3.4,    17.0,    -1.3,     6.1,
457,1991-10-24,,     0.0,     0.5,    -4.4,    11.4,    -2.7,     3.9,
457,1991-10-25,,     0.0,     0.8,    -2.9,     5.1,    -4.6,    -1.3,
457,1991-10-26,,     0.0,     1.0,    -1.9,     8.2,    -6.9,    -0.5,
457,1991-10-27,,     0.0,     1.0,     1.3,    12.1,    -3.0,     3.7,
457,1991-10-28,,     0.0,     1.2,    -8.7,    12.0,    -4.2,     4.5,
457,1991-10-29,,     0.0,     1.6,   -15.9,    -5.0,   -15.4,   -10.5,
457,1991-10-30,,     0.0,     1.6,    -7.4,     2.1,   -17.3,    -7.3,
457,1991-10-31,,     0.0,     1.6,   -14.9,    -1.5,   -16.5,    -9.4,
457,1991-11-01,,     0.0,     1.6,    -9.3,     0.7,   -19.0,    -9.1,
457,1991-11-02,,     0.6,     2.2,   -18.1,    -2.5,   -15.7,    -8.4,
457,1991-11-03,,     0.8,     2.3,   -24.2,    -7.7,   -24.3,   -18.0,
457,1991-11-04,,     0.8,     2.3,   -15.1,     1.8,   -24.6,   -13.3,
457,1991-11-05,,     1.1,     2.4,    -2.4,     1.7,   -15.9,    -5.7,
457,1991-11-06,,     1.5,     2.7,    -0.1,     6.9,    -2.9,     0.0,
457,1991-11-07,,     2.1,     3.3,    -1.9,     5.5,    -1.6,     0.7,
457,1991-11-08,,     2.1,     3.4,    -7.1,     6.1,    -5.5,    -1.2,
457,1991-11-09,,     2.1,     3.4,     0.4,    15.6,    -8.2,     0.8,
457,1991-11-10,,     2.0,     3.4,     0.7,    10.5,    -0.9,     3.3,
457,1991-11-11,,     2.0,     3.5,    -2.7,     8.1,    -0.7,     2.1,
457,1991-11-12,,     2.0,     3.6,    -6.8,    10.5,    -6.2,    -0.2,
457,1991-11-13,,     1.8,     3.6,    -3.8,    13.5,    -7.7,     0.5,
457,1991-11-14,,     1.7,     3.6,    -4.5,    13.4,    -5.6,     0.8,
457,1991-11-15,,     1.6,     3.6,     0.2,    13.4,    -5.6,     0.8,
457,1991-11-16,,     1.5,     3.6,    -4.1,     5.1,    -4.3,     0.2,
457,1991-11-17,,     1.5,     3.6,    -4.8,    -1.7,    -5.0,    -3.8,
457,1991-11-18,,     1.7,     3.8,    -2.4,     0.0,    -5.4,    -3.1,
457,1991-11-19,,     3.0,     5.1,    -6.4,     0.1,    -6.2,    -3.4,
457,1991-11-20,,     3.1,     5.2,   -12.7,     0.5,   -11.4,    -6.7,
457,1991-11-21,,     3.3,     5.4,    -3.4,     7.6,   -13.6,    -4.6,
457,1991-11-22,,     4.6,     6.1,   -11.9,    -1.4,    -8.9,    -4.7,
457,1991-11-23,,     5.1,     6.2,   -13.3,    -5.8,   -17.5,   -11.8,
457,1991-11-24,,     5.3,     6.3,   -11.5,    -6.7,   -17.2,   -12.8,
457,1991-11-25,,     5.6,     6.4,    -5.3,    -1.1,   -13.4,    -6.0,
457,1991-11-26,,     6.0,     6.7,    -2.5,    -0.8,    -5.6,    -3.3,
457,1991-11-27,,     6.2,     6.8,    -4.3,    -1.5,    -2.9,    -2.2,
457,1991-11-28,,     6.3,     6.8,    -2.4,    10.3,    -4.6,    -0.8,
457,1991-11-29,,     6.3,     7.0,    -8.7,    -0.2,    -8.0,    -4.4,
457,1991-11-30,,     6.3,     7.1,   -15.2,    -4.1,   -12.6,    -9.3,
457,1991-12-01,,     6.3,     7.1,   -23.1,   -13.0,   -16.6,   -15.3,
457,1991-12-02,,     6.3,     7.1,   -13.6,    -8.8,   -23.9,   -18.4,
457,1991-12-03,,     6.8,     7.3,   -11.4,    -5.2,   -14.1,   -10.4,
457,1991-12-04,,     6.8,     7.3,   -11.7,    -2.5,   -12.0,    -8.3,
457,1991-12-05,,     6.7,     7.3,    -9.4,     7.6,   -12.2,    -5.8,
457,1991-12-06,,     6.7,     7.3,    -8.5,     8.3,   -10.0,    -5.1,
457,1991-12-07,,     6.6,     7.3,    -7.9,    12.1,    -9.2,    -3.7,
457,1991-12-08,,     6.6,     7.4,    -3.8,     9.2,    -8.8,    -3.1,
457,1991-12-09,,     7.2,     7.8,   -12.0,    -2.7,   -11.1,    -4.8,
457,1991-12-10,,     7.1,     7.8,   -11.0,     4.4,   -12.4,    -7.1,
457,1991-12-11,,     7.1,     7.8,    -4.9,     5.3,   -11.3,    -5.4,
457,1991-12-12,,     7.1,     7.9,    -9.2,     3.2,    -6.7,    -2.6,
457,1991-12-13,,     7.1,     7.9,    -7.3,    -0.8,   -13.1,    -7.7,
457,1991-12-14,,     7.1,     8.0,   -16.1,    -6.8,   -16.9,   -10.1,
457,1991-12-15,,     7.1,     8.0,   -13.3,   -12.7,   -16.1,   -15.3,
457,1991-12-16,,     7.0,     8.0,   -11.2,     6.2,   -13.9,    -7.4,
457,1991-12-17,,     7.0,     8.0,    -8.1,     8.8,   -12.2,    -5.2,
457,1991-12-18,,     7.0,     8.0,    -7.8,    12.9,   -10.0,    -3.7,
457,1991-12-19,,     7.2,     8.1,    -2.0,     8.2,    -9.5,    -3.0,
457,1991-12-20,,     7.5,     8.3,    -5.0,     2.0,    -8.0,    -2.2,
457,1991-12-21,,     7.5,     8.4,   -10.2,     0.2,   -12.4,    -4.8,
457,1991-12-22,,     7.5,     8.4,   -10.0,     7.6,   -11.0,    -6.3,
457,1991-12-23,,     7.5,     8.4,   -10.7,    -0.4,   -12.5,    -8.1,
457,1991-12-24,,     7.2,     8.4,   -13.1,     4.6,   -13.2,    -8.7,
457,1991-12-25,,     7.1,     8.4,   -12.4,     7.4,   -14.1,    -8.4,
457,1991-12-26,,     7.0,     8.4,    -7.4,     5.2,   -13.3,    -7.7,
457,1991-12-27,,     6.8,     8.4,   -11.9,     4.7,   -12.8,    -7.8,
457,1991-12-28,,     6.7,     8.4,   -12.1,     4.1,   -14.3,    -8.0,
457,1991-12-29,,     6.6,     8.4,    -6.7,    10.7,   -13.1,    -7.1,
457,1991-12-30,,     6.6,     8.4,   -12.3,    -1.0,   -12.7,    -5.9,
457,1991-12-31,,     6.6,     8.4,    -9.2,     0.6,   -14.3,    -8.6,
457,1992-01-01,,     6.6,     8.5,   -10.5,    -2.9,   -11.0,    -8.2,
457,1992-01-02,,     6.6,     8.5,   -13.4,    -2.3,   -16.2,   -10.9,
457,1992-01-03,,     6.6,     8.5,   -12.2,     4.9,   -16.9,    -9.9,
457,1992-01-04,,     6.6,     8.5,    -3.9,     7.9,   -13.4,    -5.6,
457,1992-01-05,,     6.8,     8.6,    -5.7,    -2.2,    -5.8,    -4.1,
457,1992-01-06,,     6.8,     8.6,    -9.2,     7.4,   -10.6,    -5.6,
457,1992-01-07,,     7.2,     8.8,    -5.7,    12.6,    -9.9,    -2.4,
457,1992-01-08,,     8.4,     9.9,   -10.1,    -4.3,    -9.5,    -6.8,
457,1992-01-09,,     8.6,    10.0,    -9.5,    -0.8,   -12.5,    -8.1,
457,1992-01-10,,     8.7,    10.1,   -12.2,     4.2,   -14.6,    -9.1,
457,1992-01-11,,     8.7,    10.1,   -10.4,     9.6,   -13.1,    -5.9,
457,1992-01-12,,     8.7,    10.1,   -13.2,    10.8,   -11.2,    -5.2,
457,1992-01-13,,     8.7,    10.1,   -14.2,    -3.3,   -16.9,   -10.0,
457,1992-01-14,,     8.8,    10.1,   -13.5,    -5.2,   -14.7,   -11.8,
457,1992-01-15,,     9.1,    10.4,   -22.0,    -7.3,   -15.6,   -10.5,
457,1992-01-16,,     9.1,    10.5,   -16.5,    -5.7,   -25.1,   -16.8,
457,1992-01-17,,     9.1,    10.5,    -9.8,     5.9,   -16.6,    -8.5,
457,1992-01-18,,     9.3,    10.6,   -18.0,    -1.7,   -15.2,    -8.2,
457,1992-01-19,,     9.3,    10.7,   -16.6,    -0.3,   -19.8,   -13.2,
457,1992-01-20,,     9.3,    10.7,   -11.7,     5.1,   -17.1,    -9.6,
457,1992-01-21,,     9.3,    10.7,   -11.8,     8.2,   -12.8,    -6.4,
457,1992-01-22,,     9.3,    10.7,   -10.2,     5.7,   -14.0,    -7.7,
457,1992-01-23,,     9.3,    10.7,    -9.4,    -2.5,   -16.5,   -10.4,
457,1992-01-24,,     9.5,    10.7,    -6.9,    -4.5,   -11.7,    -7.4,
457,1992-01-25,,     9.5,    10.7,   -10.4,     5.1,    -8.9,    -3.0,
457,1992-01-26,,     9.5,    10.7,    -7.0,    10.4,   -10.6,    -2.8,
457,1992-01-27,,     9.5,    10.7,    -9.7,     8.4,    -9.6,    -3.6,
457,1992-01-28,,     9.5,    10.7,   -10.9,     6.2,   -10.6,    -5.5,
457,1992-01-29,,     9.5,    10.7,    -9.8,    11.0,   -10.9,    -3.5,
457,1992-01-30,,     9.5,    10.7,   -10.2,     8.4,   -10.2,    -4.5,
457,1992-01-31,,     9.4,    10.7,    -6.4,     8.1,   -10.8,    -3.5,
457,1992-02-01,,     9.3,    10.7,    -6.6,    15.0,    -8.4,    -0.8,
457,1992-02-02,,     9.2,    10.7,    -7.2,    14.8,    -7.5,    -0.7,
457,1992-02-03,,     9.2,    10.8,    -2.8,     6.8,    -7.8,    -3.3,
457,1992-02-04,,     9.2,    10.9,    -7.7,     4.2,    -8.3,    -1.7,
457,1992-02-05,,     9.2,    10.9,   -15.5,     4.1,   -14.8,    -6.6,
457,1992-02-06,,     9.0,    10.9,   -13.5,     1.4,   -16.6,    -9.4,
457,1992-02-07,,     8.8,    10.9,    -9.7,     8.6,   -14.5,    -6.5,
457,1992-02-08,,     8.8,    10.9,    -5.2,     7.4,   -11.4,    -4.2,
457,1992-02-09,,     9.1,    11.2,    -3.8,     1.7,    -6.0,    -2.9,
457,1992-02-10,,     9.3,    11.4,    -5.5,     1.6,    -4.5,    -2.4,
457,1992-02-11,,     9.4,    11.4,    -4.1,     6.2,    -7.0,    -2.4,
457,1992-02-12,,     9.6,    11.4,    -3.3,     5.3,    -4.8,    -1.3,
457,1992-02-13,,     9.8,    11.5,    -5.2,     4.6,    -9.0,    -3.2,
457,1992-02-14,,    10.6,    12.0,    -3.1,    10.1,    -6.5,    -0.6,
457,1992-02-15,,    11.1,    12.5,    -6.5,     0.0,    -5.9,    -3.7,
457,1992-02-16,,    11.2,    12.6,   -11.5,    -4.3,    -6.7,    -6.3,
457,1992-02-17,,    11.8,    13.1,    -8.3,     5.1,   -11.5,    -4.9,
457,1992-02-18,,    12.0,    13.2,    -9.6,    -4.0,   -11.8,    -7.9,
457,1992-02-19,,    12.1,    13.2,    -9.1,     0.7,   -14.2,    -7.9,
457,1992-02-20,,    12.1,    13.3,    -5.1,     3.5,   -12.4,    -5.0,
457,1992-02-21,,    12.5,    13.7,    -1.9,     5.8,    -5.6,    -0.6,
457,1992-02-22,,    12.6,    13.7,    -6.6,     5.7,    -6.3,    -1.7,
457,1992-02-23,,    13.4,    14.5,    -4.8,     5.4,    -7.8,    -1.9,
457,1992-02-24,,    13.5,    14.6,   -10.7,     1.2,   -12.4,    -5.0,
457,1992-02-25,,    13.5,    14.6,    -7.5,     5.5,   -13.1,    -4.7,
457,1992-02-26,,    13.6,    14.6,   -12.6,     4.2,   -12.6,    -5.2,
457,1992-02-27,,    13.6,    14.6,    -5.6,     6.3,   -13.4,    -4.3,
457,1992-02-28,,    13.6,    14.6,    -7.8,     9.6,    -8.2,    -0.6,
457,1992-02-29,,    13.6,    14.6,    -6.5,    12.6,    -8.6,    -0.1,
457,1992-03-01,,    13.6,    14.6,    -5.8,    14.0,    -7.3,     0.9,
457,1992-03-02,,    13.6,    14.6,    -3.9,    13.5,    -6.2,     2.0,
457,1992-03-03,,    13.6,    14.8,     2.3,    15.5,    -5.0,     3.5,
457,1992-03-04,,    13.7,    14.8,    -3.0,    12.2,    -2.9,     3.4,
457,1992-03-05,,    14.1,    15.0,    -2.2,     2.1,    -4.2,    -0.8,
457,1992-03-06,,    14.3,    15.3,    -2.1,     2.9,    -2.6,    -1.0,
457,1992-03-07,,    14.3,    15.3,    -6.2,    11.5,    -5.3,     0.1,
457,1992-03-08,,    14.3,    15.4,    -2.1,    14.6,    -7.0,     2.9,
457,1992-03-09,,    14.5,    16.0,    -7.0,     9.7,    -6.3,    -0.6,
457,1992-03-10,,    14.5,    16.0,    -9.4,     3.5,   -10.4,    -4.4,
457,1992-03-11,,    14.5,    16.0,    -5.8,     2.3,   -10.8,    -4.4,
457,1992-03-12,,    14.5,    16.0,    -6.8,     6.4,    -7.3,    -1.8,
457,1992-03-13,,    14.5,    16.0,    -6.8,    10.1,    -7.5,    -0.1,
457,1992-03-14,,    14.6,    16.0,    -4.9,    12.1,    -7.2,     1.1,
