

Colorado (PST) SNOTEL Site Dry Lake - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Fri Jul 27 07:58:01 GMT-08:00 2018. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
457,2000-10-01,,     0.0,     0.0,     4.6,    19.1,     2.2,     9.3,       5,
457,2000-10-02,,     0.0,     0.0,     3.5,    20.4,     2.7,    11.0,       5,
457,2000-10-03,,     0.0,     0.0,     4.8,    20.6,     2.6,    10.6,       5,
457,2000-10-04,,     0.0,     0.0,     3.2,    17.5,     2.6,     8.2,       5,
457,2000-10-05,,     0.0,     0.0,     3.0,    15.3,     0.7,     7.4,       4,
457,2000-10-06,,     0.0,     0.1,    -3.3,    12.9,    -3.4,     3.3,       4,
457,2000-10-07,,     0.0,     0.1,    -3.1,    12.0,    -5.4,     2.0,       4,
457,2000-10-08,,     0.0,     0.1,    -2.9,    13.5,    -5.0,     2.3,       4,
457,2000-10-09,,     0.0,     0.1,    -1.5,    15.7,    -5.2,     3.6,       5,
457,2000-10-10,,     0.0,     0.1,     0.4,    17.0,    -2.2,     5.3,       5,
457,2000-10-11,,     0.0,     0.1,     1.3,    16.5,    -0.2,     6.5,       4,
457,2000-10-12,,     0.0,     0.1,     0.3,    18.4,    -1.1,     4.6,       4,
457,2000-10-13,,     0.0,     0.2,    -2.0,     9.5,    -2.0,     3.0,       4,
457,2000-10-14,,     0.0,     0.3,    -1.7,     7.4,    -3.5,     0.7,       5,
457,2000-10-15,,     0.0,     0.4,    -3.6,     3.8,    -3.6,    -0.2,       4,
457,2000-10-16,,     0.0,     0.4,    -3.5,    10.0,    -4.9,     0.7,       4,
457,2000-10-17,,     0.0,     0.4,    -3.0,    11.4,    -4.5,     1.7,       5,
457,2000-10-18,,     0.0,     0.4,     0.3,    14.6,    -4.0,     3.6,      -1,
457,2000-10-19,,     0.0,     0.4,    -0.9,    16.8,    -1.9,     5.2,       0,
457,2000-10-20,,     0.0,     0.4,    -0.8,    15.4,    -2.1,     4.8,       0,
457,2000-10-21,,     0.0,     0.4,    -0.5,    14.8,    -2.7,     4.2,       0,
457,2000-10-22,,     0.0,     0.4,    -2.7,    16.1,    -2.8,     4.3,      -1,
