

Colorado (PST) SNOTEL Site Dry Lake - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Fri Jul 27 07:57:58 GMT-08:00 2018. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
457,1998-10-01,,     0.0,     0.0,    11.0,    23.0,     3.6,    11.9,       0,
457,1998-10-02,,     0.0,     0.4,     2.8,    14.4,     2.5,     7.5,       0,
457,1998-10-03,,     0.0,     0.6,     1.0,    11.6,     0.5,     4.7,       0,
457,1998-10-04,,     0.0,     1.0,    -0.3,     9.9,    -0.5,     4.0,       1,
457,1998-10-05,,     1.2,     2.3,    -3.3,    -0.4,    -3.3,    -1.9,       8,
457,1998-10-06,,     1.2,     2.6,    -8.3,     1.0,    -8.3,    -3.7,       9,
457,1998-10-07,,     0.9,     2.6,    -2.4,    11.5,    -8.8,    -0.8,       5,
457,1998-10-08,,     0.5,     2.6,    -0.3,    16.7,    -2.9,     3.2,       2,
457,1998-10-09,,     0.0,     2.6,     0.9,    20.9,    -1.8,     6.4,       1,
457,1998-10-10,,     0.0,     2.6,     1.0,    17.6,    -1.2,     6.1,       0,
457,1998-10-11,,     0.0,     2.6,    -2.9,    17.0,    -3.2,     6.6,       0,
457,1998-10-12,,     0.0,     2.6,     0.3,    13.3,    -5.7,     2.7,       0,
457,1998-10-13,,     0.0,     2.6,     0.9,    17.6,    -2.2,     5.9,       0,
457,1998-10-14,,     0.0,     2.6,     3.5,    19.3,    -0.1,     8.7,       0,
457,1998-10-15,,     0.0,     2.6,     2.5,    17.5,     1.5,     8.2,       0,
457,1998-10-16,,     0.0,     2.6,     0.6,    15.1,     0.6,     7.4,       0,
457,1998-10-17,,     0.0,     2.7,    -2.4,     6.9,    -3.5,    -0.1,       0,
457,1998-10-18,,     0.0,     3.0,    -4.8,     0.8,    -4.9,    -2.3,       1,
457,1998-10-19,,     0.0,     3.0,    -3.5,    10.5,    -4.6,     0.6,       1,
457,1998-10-20,,     0.0,     3.0,    -0.9,    12.6,    -4.5,     2.5,       0,
457,1998-10-21,,     0.0,     3.0,    -0.3,    13.8,    -3.2,     4.1,       0,
457,1998-10-22,,     0.0,     3.0,     1.4,    17.1,    -2.8,     5.1,       0,
457,1998-10-23,,     0.0,     3.0,    -0.2,    12.0,    -0.6,     4.1,       0,
457,1998-10-24,,     0.1,     3.2,     0.1,     7.8,    -1.4,     1.2,       0,
457,1998-10-25,,     0.1,     3.2,    -1.9,     9.8,    -2.1,     2.5,       0,
457,1998-10-26,,     0.1,     3.2,     4.4,    14.4,    -2.3,     5.9,       0,
457,1998-10-27,,     0.0,     3.2,     0.6,    11.8,     0.6,     5.8,       0,
457,1998-10-28,,     0.3,     3.5,     1.6,    11.6,     0.2,     4.4,       0,
457,1998-10-29,,     0.6,     4.4,    -0.3,     0.4,    -1.1,    -0.4,       2,
457,1998-10-30,,     0.3,     4.4,    -0.7,     5.9,    -0.7,     0.7,       2,
457,1998-10-31,,     0.1,     4.5,    -0.6,    11.4,    -1.0,     2.2,       1,
457,1998-11-01,,     0.0,     4.5,    -0.6,     5.1,    -2.1,     0.6,       0,
457,1998-11-02,,     0.1,     4.6,     0.4,    10.1,    -1.8,     2.8,       0,
457,1998-11-03,,     0.2,     5.1,    -0.7,     4.0,    -0.7,     0.6,       0,
457,1998-11-04,,     0.2,     5.4,    -4.3,     0.3,    -5.6,    -2.5,       2,
457,1998-11-05,,     0.2,     5.4,    -6.6,     3.1,    -7.7,    -4.0,       2,
457,1998-11-06,,     0.2,     5.4,    -4.1,     7.7,    -8.5,    -2.7,       1,
457,1998-11-07,,     0.4,     5.8,    -6.3,     0.6,    -7.2,    -3.8,       3,
457,1998-11-08,,     0.6,     6.0,    -5.2,    -1.0,    -8.2,    -5.3,       5,
457,1998-11-09,,     1.2,     6.5,    -7.3,     2.1,    -7.3,    -3.6,      11,
457,1998-11-10,,     1.6,     6.9,   -11.1,    -6.7,   -11.6,    -8.9,      13,
457,1998-11-11,,     1.6,     6.9,   -13.2,    -7.4,   -13.2,   -10.1,      12,
457,1998-11-12,,     1.6,     6.9,    -6.3,     0.9,   -13.3,    -6.9,      11,
457,1998-11-13,,     1.6,     6.9,    -8.0,     2.8,    -8.2,    -4.1,      10,
457,1998-11-14,,     1.6,     6.9,    -5.2,     6.2,    -8.8,    -3.6,       9,
457,1998-11-15,,     1.6,     6.9,    -3.8,     9.5,    -5.8,    -0.5,       8,
457,1998-11-16,,     1.6,     6.9,    -4.2,    11.2,    -4.6,     1.3,       7,
457,1998-11-17,,     1.6,     6.9,    -3.5,     8.7,    -6.3,    -1.1,       7,
457,1998-11-18,,     1.6,     7.0,    -3.3,    10.7,    -3.3,     2.4,       8,
457,1998-11-19,,     1.7,     7.1,    -5.4,     0.0,    -5.4,    -3.5,       9,
457,1998-11-20,,     1.9,     7.4,   -10.6,    -1.3,   -10.6,    -6.4,       9,
457,1998-11-21,,     1.9,     7.4,    -9.1,     1.0,   -14.4,    -8.5,      10,
457,1998-11-22,,     1.9,     7.4,    -3.1,     7.8,    -9.9,    -1.3,       9,
457,1998-11-23,,     1.9,     7.4,    -4.0,    10.5,    -4.4,    -0.3,       9,
457,1998-11-24,,     1.9,     7.4,    -2.5,    10.1,    -5.1,     0.6,       9,
457,1998-11-25,,     1.9,     7.4,    -7.0,     9.0,    -7.1,    -0.4,       9,
457,1998-11-26,,     1.9,     7.4,    -3.2,     6.8,    -8.2,    -1.2,       9,
457,1998-11-27,,     1.9,     7.4,    -0.8,    13.5,    -4.6,     1.0,       8,
