

Colorado (PST) SNOTEL Site Dry Lake - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Fri Jul 27 07:57:36 GMT-08:00 2018. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,
457,1987-10-01,,     0.0,     0.0,     1.9,    22.0,     1.0,    10.0,
457,1987-10-02,,     0.0,     0.0,     2.5,    20.6,    -0.2,     9.1,
457,1987-10-03,,     0.0,     0.0,     1.3,    22.4,     1.7,    10.8,
457,1987-10-04,,     0.0,     0.0,     1.8,    22.3,     0.4,    10.1,
457,1987-10-05,,     0.0,     0.0,     0.8,    21.3,     0.7,     9.7,
457,1987-10-06,,     0.0,     0.0,    -0.8,    18.7,     0.2,     8.3,
457,1987-10-07,,     0.0,     0.0,    -0.5,    17.9,    -1.3,     7.4,
457,1987-10-08,,     0.0,     0.0,     0.4,    22.1,    -0.8,     9.5,
457,1987-10-09,,     0.0,     0.0,    -0.2,    20.0,    -0.1,     9.4,
457,1987-10-10,,     0.0,     0.0,    -1.3,    18.5,    -0.6,     9.4,
457,1987-10-11,,     0.0,     0.0,    -3.4,    16.7,    -2.3,     6.5,
457,1987-10-12,,     0.0,     0.0,    -0.7,    17.0,    -4.6,     4.9,
457,1987-10-13,,     0.0,     0.0,     6.9,    22.0,    -1.3,    10.6,
457,1987-10-14,,     0.0,     0.4,     0.8,    12.5,     1.2,     6.8,
457,1987-10-15,,     0.0,     0.5,     1.4,    10.9,    -0.3,     3.2,
457,1987-10-16,,     0.0,     0.5,    -5.4,    12.5,     0.9,     4.5,
457,1987-10-17,,     0.0,     0.5,    -4.3,     9.8,    -6.5,     0.3,
457,1987-10-18,,     0.0,     0.5,    -3.0,    13.9,    -4.3,     3.0,
457,1987-10-19,,     0.0,     0.5,    -4.2,    11.6,    -3.3,     3.2,
457,1987-10-20,,     0.0,     0.5,    -7.6,     9.2,    -5.3,     0.4,
457,1987-10-21,,     0.0,     0.5,    -3.8,     9.6,    -8.4,    -0.5,
457,1987-10-22,,     0.0,     0.5,    -3.4,    14.2,    -4.6,     3.4,
457,1987-10-23,,     0.0,     0.5,    -2.5,    13.8,    -3.7,     3.1,
457,1987-10-24,,     0.0,     0.5,     1.7,    13.3,    -2.9,     4.3,
457,1987-10-25,,     0.3,     1.3,     0.2,    12.8,     0.2,     5.2,
457,1987-10-26,,     0.0,     1.3,    -1.3,     7.1,    -0.6,     2.3,
457,1987-10-27,,     0.0,     1.5,    -3.2,    -0.2,    -2.0,    -1.1,
457,1987-10-28,,     0.0,     1.5,    -3.0,    12.4,    -3.5,     2.9,
457,1987-10-29,,     0.0,     1.6,     0.4,    15.5,    -3.1,     4.9,
457,1987-10-30,,     0.0,     1.7,     4.4,    17.3,    -1.1,     6.5,
457,1987-10-31,,     0.0,     1.8,    -0.6,     5.0,     0.6,     2.3,
457,1987-11-01,,     0.0,     1.9,     3.3,    11.7,    -1.4,     4.0,
457,1987-11-02,,     0.0,     2.2,     0.2,    14.5,     0.8,     6.0,
457,1987-11-03,,     0.0,     2.2,     1.2,     7.5,     0.2,     2.3,
457,1987-11-04,,     0.0,     2.3,    -0.6,     7.3,    -0.4,     3.2,
457,1987-11-05,,     0.0,     2.3,    -1.6,    12.5,    -1.3,     3.2,
457,1987-11-06,,     0.0,     2.4,     0.5,    15.5,    -2.5,     5.6,
457,1987-11-07,,     0.1,     2.6,    -1.3,     9.0,    -1.4,     3.0,
457,1987-11-08,,     0.5,     3.0,    -5.7,     1.2,    -3.1,    -1.0,
457,1987-11-09,,     0.6,     3.1,    -5.9,    11.1,    -7.6,    -1.3,
457,1987-11-10,,     0.6,     3.1,    -5.7,    13.1,    -6.6,    -0.3,
457,1987-11-11,,     0.7,     3.6,    -8.4,    10.6,    -7.6,    -1.7,
457,1987-11-12,,     0.2,     3.6,    -8.0,    10.0,    -8.6,    -3.1,
457,1987-11-13,,     0.3,     3.6,    -3.1,    12.3,    -8.4,    -1.4,
457,1987-11-14,,     1.0,     3.7,    -0.8,    11.0,    -4.8,     1.3,
457,1987-11-15,,     1.9,     4.5,    -6.0,     4.0,    -5.0,    -0.2,
457,1987-11-16,,     2.2,     4.7,   -18.4,    -1.7,   -14.8,    -6.4,
457,1987-11-17,,     2.8,     5.0,    -7.2,     0.0,   -18.8,    -9.6,
457,1987-11-18,,     3.1,     5.2,   -13.8,    -2.5,   -10.8,    -7.8,
457,1987-11-19,,     3.1,     5.3,   -13.1,    -3.9,   -14.2,   -11.2,
457,1987-11-20,,     3.1,     5.3,    -9.6,    14.4,   -14.6,    -5.2,
457,1987-11-21,,     3.1,     5.3,    -5.6,    16.5,    -9.9,    -2.2,
457,1987-11-22,,     3.1,     5.3,    -6.7,     9.0,    -8.3,    -2.0,
457,1987-11-23,,     3.1,     5.3,    -5.4,     2.7,   -10.0,    -4.4,
457,1987-11-24,,     3.5,     5.6,    -9.2,     5.9,    -6.8,    -2.6,
457,1987-11-25,,     3.5,     5.7,   -10.1,     0.9,   -12.8,    -7.9,
457,1987-11-26,,     3.5,     5.7,    -5.4,     8.2,   -11.5,    -4.8,
457,1987-11-27,,     3.5,     5.7,    -9.8,     2.8,   -13.6,    -5.6,
457,1987-11-28,,     3.5,     5.7,   -14.9,    -1.5,   -14.8,    -9.2,
457,1987-11-29,,     3.5,     5.7,   -11.7,    10.1,   -15.8,    -6.7,
457,1987-11-30,,     3.5,     5.7,   -13.8,     4.4,   -11.8,    -5.9,
457,1987-12-01,,     3.5,     5.7,   -14.3,     3.1,   -14.2,    -8.6,
457,1987-12-02,,     3.5,     5.7,    -3.5,     0.6,   -14.9,    -6.2,
457,1987-12-03,,     3.7,     5.8,    -1.0,     3.4,    -4.4,    -1.0,
457,1987-12-04,,     3.7,     5.8,    -3.4,    11.7,    -3.2,     1.5,
457,1987-12-05,,     3.7,     5.8,     2.9,    18.2,    -4.4,     2.9,
457,1987-12-06,,     3.9,     6.0,    -1.6,     3.2,    -2.2,     0.6,
457,1987-12-07,,     3.8,     6.0,    -2.8,    11.0,    -5.9,    -0.7,
457,1987-12-08,,     4.1,     6.3,    -9.3,     8.4,    -7.5,    -2.1,
457,1987-12-09,,     4.2,     6.3,    -8.9,    -2.2,   -14.7,    -9.0,
457,1987-12-10,,     4.5,     6.5,    -3.0,    -3.6,   -10.6,    -6.3,
457,1987-12-11,,     4.7,     6.6,    -6.3,     2.4,    -3.5,    -0.4,
457,1987-12-12,,     4.7,     6.7,   -15.9,    -2.9,   -12.1,    -7.6,
457,1987-12-13,,     4.7,     6.8,   -14.6,    -6.5,   -20.7,   -13.7,
457,1987-12-14,,     4.8,     6.8,   -16.4,    -9.1,   -16.5,   -13.8,
457,1987-12-15,,     4.7,     6.8,   -18.8,    -8.3,   -23.2,   -16.9,
457,1987-12-16,,     4.3,     6.8,   -16.5,    -6.9,   -23.5,   -16.7,
457,1987-12-17,,     4.3,     6.8,    -4.7,     2.8,   -19.4,    -8.7,
457,1987-12-18,,     4.3,     6.8,    -5.7,     2.8,    -7.1,    -2.9,
457,1987-12-19,,     4.7,     7.0,    -6.3,    -0.1,    -8.2,    -4.7,
457,1987-12-20,,     5.2,     7.3,   -19.4,    -3.4,   -13.3,    -6.6,
457,1987-12-21,,     5.3,     7.3,    -9.5,     0.5,   -20.4,   -13.3,
457,1987-12-22,,     5.7,     7.4,    -8.8,    -6.0,   -13.3,    -8.4,
457,1987-12-23,,     7.5,     8.7,    -5.2,    -2.9,   -14.2,    -5.6,
457,1987-12-24,,     8.0,     9.0,   -13.9,    -2.3,   -14.0,    -8.8,
457,1987-12-25,,     8.0,     9.1,   -22.6,    -7.4,   -23.0,   -14.8,
457,1987-12-26,,     8.0,     9.1,   -20.2,    -1.4,   -23.3,   -17.1,
457,1987-12-27,,     8.2,     9.1,   -14.8,    -8.2,   -21.1,   -16.9,
457,1987-12-28,,     8.4,     9.3,   -10.1,    -6.7,   -15.5,   -11.3,
457,1987-12-29,,     8.5,     9.4,    -9.1,     6.4,   -13.1,    -7.5,
457,1987-12-30,,     8.5,     9.4,    -7.0,    13.0,   -10.6,    -3.4,
457,1987-12-31,,     9.0,     9.7,   -12.7,    -6.7,   -12.4,    -9.3,
457,1988-01-01,,     9.5,    10.1,   -13.7,    -7.8,   -13.1,   -11.6,
457,1988-01-02,,     9.5,    10.1,   -21.9,    -6.0,   -20.9,   -14.3,
457,1988-01-03,,     9.5,    10.1,   -22.3,     0.5,   -22.7,   -16.9,
457,1988-01-04,,     9.5,    10.1,   -19.1,     0.6,   -22.3,   -14.9,
457,1988-01-05,,     9.9,    10.4,    -6.1,   -17.1,   -19.3,   -18.7,
457,1988-01-06,,    10.2,    10.7,    -5.1,    -5.3,    -6.8,    -6.2,
457,1988-01-07,,    10.6,    10.9,   -13.9,    -3.0,   -14.7,    -7.8,
457,1988-01-08,,    11.0,    11.2,   -10.2,    -4.3,   -14.2,    -9.4,
457,1988-01-09,,    11.3,    11.4,   -10.2,    -4.0,   -10.5,    -8.8,
457,1988-01-10,,    12.0,    12.0,    -6.4,    -5.7,   -10.5,    -8.3,
457,1988-01-11,,    12.1,    12.1,    -4.7,    -0.3,    -7.2,    -3.8,
457,1988-01-12,,    12.8,    12.5,   -12.4,     6.6,   -10.9,    -5.9,
457,1988-01-13,,    12.9,    12.6,   -20.0,    -9.7,   -19.2,   -13.1,
457,1988-01-14,,    13.0,    12.7,   -13.1,    -1.5,   -20.2,   -12.0,
457,1988-01-15,,    13.0,    12.7,    -8.8,     0.4,   -14.5,    -6.5,
457,1988-01-16,,    13.5,    13.1,   -10.9,     6.5,    -8.8,    -3.1,
457,1988-01-17,,    13.6,    13.2,    -9.2,     2.3,   -17.3,   -10.1,
457,1988-01-18,,    13.8,    13.4,    -5.0,    -3.6,   -14.4,    -8.1,
457,1988-01-19,,    14.0,    13.6,   -13.1,    -1.9,   -12.4,    -7.2,
457,1988-01-20,,    14.0,    13.7,   -25.0,    -6.0,   -24.0,   -14.3,
457,1988-01-21,,    14.1,    13.7,   -13.1,    -7.6,   -25.6,   -16.3,
457,1988-01-22,,    14.3,    13.8,   -16.6,    -6.2,   -20.3,   -12.8,
