

Colorado (PST) SNOTEL Site Dry Lake - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Fri Jul 27 07:58:12 GMT-08:00 2018. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
457,2005-10-01,,     0.0,     0.0,     5.0,    17.4,     1.1,     8.8,       2,
457,2005-10-02,,     0.0,     0.0,     5.6,    20.2,     3.3,    10.5,       1,
457,2005-10-03,,     0.0,     0.3,    11.9,    20.6,     4.4,    12.0,       0,
457,2005-10-04,,     0.0,     0.3,    12.0,    21.7,     9.6,    15.0,       1,
457,2005-10-05,,     0.4,     1.0,     0.0,    16.1,    -0.2,     6.3,       2,
457,2005-10-06,,     0.0,     1.1,    -1.4,     8.5,    -1.9,     1.3,       1,
457,2005-10-07,,     0.0,     1.2,     1.5,     9.7,    -3.0,     2.5,       1,
457,2005-10-08,,     0.0,     1.4,     3.6,    16.2,    -0.5,     6.8,       1,
457,2005-10-09,,     0.0,     1.8,     4.8,    18.8,     2.9,     9.9,       1,
457,2005-10-10,,     0.0,     2.0,     1.1,     4.8,     1.1,     3.1,       1,
457,2005-10-11,,     0.0,     2.1,     0.2,     3.9,    -0.6,     1.2,       2,
457,2005-10-12,,     0.0,     2.2,     0.0,     1.9,    -0.6,     1.1,       1,
457,2005-10-13,,     0.0,     2.4,    -0.1,     9.1,    -0.5,     3.0,       2,
457,2005-10-14,,     0.0,     2.4,     2.3,    12.7,    -1.2,     4.6,       1,
457,2005-10-15,,     0.0,     2.5,     5.8,    17.5,     0.3,     8.4,       1,
457,2005-10-16,,     0.0,     2.5,     3.3,    18.5,     2.7,     9.0,       2,
457,2005-10-17,,     0.0,     2.5,     4.4,    15.7,     1.2,     7.8,       2,
457,2005-10-18,,     0.0,     2.5,     3.2,    15.4,     3.0,     7.8,       2,
457,2005-10-19,,     0.0,     2.7,     6.5,    16.3,     1.0,     7.9,       1,
457,2005-10-20,,     0.0,     2.9,     5.2,     6.8,     3.4,     4.8,       2,
457,2005-10-21,,     0.0,     2.9,     5.0,    11.2,     4.5,     6.3,       1,
457,2005-10-22,,     0.0,     2.9,     0.4,    11.2,     0.2,     5.3,       2,
457,2005-10-23,,     0.0,     2.9,     1.5,    12.8,    -0.9,     4.9,       2,
457,2005-10-24,,     0.0,     2.9,     1.3,    13.7,    -0.2,     5.5,       2,
457,2005-10-25,,     0.0,     3.0,     2.9,    14.7,    -1.2,     6.2,       2,
457,2005-10-26,,     0.0,     3.0,     4.2,    15.8,     1.5,     7.2,       2,
457,2005-10-27,,     0.0,     3.0,     3.7,    13.3,     1.8,     6.4,       1,
457,2005-10-28,,     0.0,     3.0,     2.5,    14.1,     2.2,     6.6,       2,
457,2005-10-29,,     0.0,     3.2,     3.8,    11.1,     2.6,     6.1,       1,
457,2005-10-30,,     0.0,     3.3,     1.3,     6.4,     0.7,     3.0,       2,
457,2005-10-31,,     0.0,     3.5,    -2.7,     4.0,    -3.2,     0.7,       2,
457,2005-11-01,,     0.0,     3.6,     1.1,     4.1,    -6.9,    -0.4,       1,
457,2005-11-02,,     0.0,     3.6,    -0.4,    10.6,    -2.0,     2.9,       2,
457,2005-11-03,,     0.0,     3.8,     3.7,    14.4,    -0.7,     5.6,       0,
457,2005-11-04,,     0.0,     3.8,     3.4,    10.8,     1.8,     5.9,       0,
457,2005-11-05,,     0.0,     3.8,    -1.5,     7.9,    -2.1,     2.3,      -1,
457,2005-11-06,,     0.0,     3.8,    -2.1,     0.7,    -3.5,    -1.7,       2,
457,2005-11-07,,     0.0,     3.9,     1.3,    11.3,    -2.2,     4.0,       1,
457,2005-11-08,,     0.0,     4.1,     4.4,    11.5,    -0.2,     5.4,      -1,
457,2005-11-09,,     0.0,     4.1,     4.7,     7.1,     2.6,     5.2,       0,
457,2005-11-10,,     0.0,     4.1,     3.8,    12.0,     2.4,     5.6,       0,
457,2005-11-11,,     0.1,     4.2,     4.4,    14.6,     1.9,     7.1,       0,
457,2005-11-12,,     0.6,     4.5,     0.4,    14.1,     0.0,     4.6,-99.9,
457,2005-11-13,,     1.1,     5.0,    -4.1,     1.7,    -4.7,    -0.6,-99.9,
457,2005-11-14,,     1.7,     5.6,    -1.0,     1.5,    -6.4,    -2.0,-99.9,
457,2005-11-15,,     2.5,     6.2,   -11.9,     0.4,   -11.9,    -2.7,      20,
457,2005-11-16,,     2.4,     6.4,   -10.1,    -4.4,   -16.1,   -10.7,      17,
457,2005-11-17,,     2.4,     6.7,    -2.3,     0.2,   -10.1,    -3.9,      15,
457,2005-11-18,,     2.7,     6.8,    -4.6,     1.3,    -4.6,    -2.1,-99.9,
457,2005-11-19,,     2.7,     6.8,    -2.6,     3.4,   -10.6,    -3.8,-99.9,
457,2005-11-20,,     2.6,     6.8,    -8.6,     3.2,    -9.1,    -3.6,      15,
457,2005-11-21,,     2.6,     6.8,    -6.1,     8.5,    -9.3,    -3.4,      11,
457,2005-11-22,,     2.6,     6.8,    -4.4,    11.5,    -7.3,    -1.8,      13,
457,2005-11-23,,     2.6,     6.8,    -4.6,    11.9,    -6.3,    -0.8,      13,
457,2005-11-24,,     2.6,     6.8,    -5.2,    10.0,    -6.4,    -1.2,      12,
457,2005-11-25,,     2.6,     6.8,    -6.6,     9.4,    -8.1,    -2.5,      12,
457,2005-11-26,,     2.7,     6.9,    -2.2,     8.2,    -8.8,    -2.5,      10,
457,2005-11-27,,     3.6,     7.6,    -7.1,     2.6,    -7.6,    -2.7,-99.9,
457,2005-11-28,,     4.4,     8.2,   -11.0,    -6.9,   -11.7,    -8.8,-99.9,
457,2005-11-29,,     4.5,     8.3,   -10.9,    -8.3,   -12.3,   -10.4,      41,
457,2005-11-30,,     4.9,     8.9,    -4.3,    -1.7,   -17.5,    -8.3,      37,
457,2005-12-01,,     5.3,     9.3,    -9.6,    -3.4,   -10.9,    -7.1,      34,
457,2005-12-02,,     5.8,    10.0,    -1.0,    -0.6,   -10.0,    -4.1,-99.9,
